Year;Month;Palestinians Injuries;Israelis Injuries;Palestinians Killed;Israelis Killed;;;;;
2012;JULY;202;12;3;0;;;;;
2012;JUNE;231;4;15;1;;;;;
2012;MAY;703;15;0;0;;;;;
2012;APRIL;169;9;1;0;;;;;
2012;MARCH;404;16;28;0;;;;;
2012;FEBRUARY;256;14;2;0;;;;;
2012;JANUARY;60;3;2;0;;;;;
2013;DECEMBER;159;4;5;1;;;;;
2013;NOVEMBER;320;5;9;1;;;;;
2013;OCTOBER;105;15;4;1;;;;;
2013;SEPTEMBER;374;9;2;2;;;;;
2013;AUGUST;137;5;6;0;;;;;
2013;JULY;138;11;1;0;;;;;
2013;JUNE;124;1;0;0;;;;;
2013;MAY;429;33;0;0;;;;;
2013;APRIL;656;17;3;1;;;;;
2013;MARCH;493;21;2;0;;;;;
2013;FEBRUARY;766;24;1;0;;;;;
2013;JANUARY;263;6;5;0;;;;;
2014;DECEMBER;350;15;5;0;;;;;
2014;NOVEMBER;984;55;8;10;;;;;
2014;OCTOBER;291;32;8;2;;;;;
2014;SEPTEMBER;209;22;20;0;;;;;
2014;AUGUST;13735;2347;614;9;;;;;
2014;JULY;198;15;1590;59;;;;;
2014;JUNE;326;5;10;3;;;;;
2014;MAY;265;28;3;1;;;;;
2014;APRIL;302;15;0;1;;;;;
2014;MARCH;228;5;12;0;;;;;
2014;FEBRUARY;216;6;3;0;;;;;
2014;JANUARY;219;9;6;0;;;;;
2015;DECEMBER;2222;43;40;2;;;;;
2015;NOVEMBER;3888;50;34;8;;;;;
2015;OCTOBER;7555;80;74;10;;;;;
2015;SEPTEMBER;413;39;4;1;;;;;
2015;AUGUST;196;20;9;0;;;;;
2015;JULY;141;8;7;0;;;;;
2015;JUNE;78;14;3;2;;;;;
2015;MAY;284;11;1;0;;;;;
2015;APRIL;223;13;7;1;;;;;
2015;MARCH;176;13;1;0;;;;;
2015;FEBRUARY;167;5;4;0;;;;;
2015;JANUARY;134;8;4;0;;;;;
2016;DECEMBER;105;18;5;0;;;;;
2016;NOVEMBER;97;7;6;0;;;;;
2016;OCTOBER;169;17;8;2;;;;;
2016;SEPTEMBER;210;14;11;0;;;;;
2016;AUGUST;261;2;3;0;;;;;
2016;JULY;256;9;9;1;;;;;
2016;JUNE;167;30;7;5;;;;;
2016;MAY;434;2;3;0;;;;;
2016;APRIL;286;21;3;0;;;;;
2016;MARCH;348;27;23;0;;;;;
2016;FEBRUARY;514;8;17;2;;;;;
2016;JANUARY;582;16;20;2;;;;;
2017;DECEMBER;4580;10;18;0;;;;;
2017;NOVEMBER;89;8;2;2;;;;;
2017;OCTOBER;120;5;13;1;;;;;
2017;SEPTEMBER;118;5;2;3;;;;;
2017;AUGUST;135;2;2;0;;;;;
2017;JULY;1772;23;20;5;;;;;
2017;JUNE;790;20;8;1;;;;;
2017;MAY & JUNE;198;15;6;0;;;;;
2017;APRIL;150;12;5;1;;;;;
2017;MARCH;189;19;7;0;;;;;
2017;FEBRUARY;97;37;6;0;;;;;
2017;JANUARY;44;17;7;6;;;;;
2018;DECEMBER;198;15;14;2;;;;;
2018;NOVEMBER;198;15;25;1;;;;;
2018;OCTOBER;198;15;32;2;;;;;
2018;SEPTEMBER;198;15;25;1;;;;;
2018;AUGUST;198;15;16;0;;;;;
2018;JULY;198;15;24;2;;;;;
2018;JUNE;198;15;18;0;;;;;
2018;MAY;198;15;66;1;;;;;
2018;APRIL;198;15;34;0;;;;;
2018;MARCH;198;15;20;3;;;;;
2018;FEBRUARY;198;15;9;1;;;;;
2018;JANUARY;198;15;7;1;;;;;
2019;DECEMBER;198;15;1;0;;;;;
2019;NOVEMBER;198;15;43;0;;;;;
2019;OCTOBER;198;15;3;0;;;;;
2019;SEPTEMBER;198;15;5;1;;;;;
2019;AUGUST;198;15;11;2;;;;;
2019;JULY;198;15;4;1;;;;;
2019;JUNE;198;15;3;0;;;;;
2019;MAY ;198;15;33;4;;;;;
2019;APRIL;198;15;8;0;;;;;
2019;MARCH;198;15;21;2;;;;;
2019;FEBRUARY;198;15;8;1;;;;;
2019;JANUARY;198;15;9;0;;;;;
2020;DECEMBER;198;15;2;1;;;;;
2020;NOVEMBER;198;15;2;0;;;;;
2020;OCTOBER;198;15;2;0;;;;;
2020;SEPTEMBER;198;15;1;0;;;;;
